Index,miRNA
0,hsa-let-7a-1
1,hsa-let-7a-2
2,hsa-let-7a-3
3,hsa-let-7b
4,hsa-let-7c
5,hsa-let-7d
6,hsa-let-7e
7,hsa-let-7f-1
8,hsa-let-7f-2
9,hsa-let-7g
10,hsa-let-7i
11,hsa-mir-1-1
12,hsa-mir-1-2
13,hsa-mir-100
14,hsa-mir-101-1
15,hsa-mir-101-2
16,hsa-mir-103a-1
17,hsa-mir-103a-2
18,hsa-mir-103b-1
19,hsa-mir-103b-2
20,hsa-mir-105-1
21,hsa-mir-105-2
22,hsa-mir-106a
23,hsa-mir-106b
24,hsa-mir-107
25,hsa-mir-10a
26,hsa-mir-10b
27,hsa-mir-1185-1
28,hsa-mir-1233-1
29,hsa-mir-1233-2
30,hsa-mir-124-1
31,hsa-mir-124-2
32,hsa-mir-124-3
33,hsa-mir-1245a
34,hsa-mir-1245b
35,hsa-mir-125a
36,hsa-mir-125b-1
37,hsa-mir-125b-2
38,hsa-mir-128-1
39,hsa-mir-128-2
40,hsa-mir-1285-1
41,hsa-mir-1285-2
42,hsa-mir-129-1
43,hsa-mir-129-2
44,hsa-mir-1302-1
45,hsa-mir-1302-2
46,hsa-mir-1302-3
47,hsa-mir-1302-4
48,hsa-mir-1302-5
49,hsa-mir-1302-6
50,hsa-mir-1302-7
51,hsa-mir-1302-8
52,hsa-mir-130a
53,hsa-mir-130b
54,hsa-mir-132
55,hsa-mir-133a-1
56,hsa-mir-133a-2
57,hsa-mir-133b
58,hsa-mir-135a-1
59,hsa-mir-135a-2
60,hsa-mir-135b
61,hsa-mir-138-1
62,hsa-mir-138-2
63,hsa-mir-141
64,hsa-mir-146a
65,hsa-mir-146b
66,hsa-mir-148a
67,hsa-mir-148b
68,hsa-mir-151a
69,hsa-mir-151b
70,hsa-mir-152
71,hsa-mir-153-1
72,hsa-mir-153-2
73,hsa-mir-154
74,hsa-mir-15a
75,hsa-mir-15b
76,hsa-mir-16-1
77,hsa-mir-16-2
78,hsa-mir-17
79,hsa-mir-181a-1
80,hsa-mir-181a-2
81,hsa-mir-181b-1
82,hsa-mir-181b-2
83,hsa-mir-181c
84,hsa-mir-181d
85,hsa-mir-188
86,hsa-mir-18a
87,hsa-mir-18b
